nr,name,maxcp,capture,flee,stamina,attack,defense,evolve
1,Bulbasaur,988,20%,10%,90,118,118,2
2,Ivysaur,1563,10%,7%,120,151,151,3
3,Venusaur,2586,5%,5%,160,198,198,0
4,Charmander,837,20%,10%,78,116,96,5
5,Charmeleon,1494,10%,7%,116,158,129,6
6,Charizard,2705,5%,5%,156,223,176,0
7,Squirtle,814,20%,10%,88,94,122,8
8,Wartortle,1333,10%,7%,118,126,155,9
9,Blastoise,2308,5%,5%,158,171,210,0
10,Caterpie,395,50%,20%,90,55,62,11
11,Metapod,422,25%,9%,100,45,94,12
12,Butterfree,1713,12%,6%,120,167,151,0
13,Weedle,400,50%,20%,80,63,55,14
14,Kakuna,395,25%,9%,90,46,86,15
15,Beedrill,1790,12%,6%,130,169,150,0
16,Pidgey,584,50%,20%,80,85,76,17
17,Pidgeotto,1093,25%,9%,126,117,108,18
18,Pidgeot,2008,12%,6%,166,166,157,0
19,Rattata,592,50%,20%,60,103,70,20
20,Raticate,1560,20%,7%,110,161,144,0
21,Spearow,678,50%,15%,80,112,61,22
22,Fearow,1827,20%,7%,130,182,135,0
23,Ekans,784,50%,15%,70,110,102,24
24,Arbok,1749,20%,7%,120,167,158,0
25,Pikachu,793,20%,10%,70,112,101,26
26,Raichu,2039,10%,6%,120,193,165,0
27,Sandshrew,1203,50%,10%,100,126,145,28
28,Sandslash,2344,20%,6%,150,182,202,0
29,Nidoran♀,741,50%,15%,110,86,94,30
30,Nidorina,1227,25%,7%,140,117,126,31
31,Nidoqueen,2354,12%,5%,180,180,174,0
32,Nidoran♂,744,50%,15%,92,105,76,33
33,Nidorino,1261,25%,7%,122,137,112,34
34,Nidoking,2403,12%,5%,162,204,157,0
35,Clefairy,1093,30%,10%,140,107,116,36
36,Clefable,2370,10%,6%,190,178,171,0
37,Vulpix,779,30%,10%,76,96,122,38
38,Ninetales,2173,10%,6%,146,169,204,0
39,Jigglypuff,718,50%,10%,230,80,44,40
40,Wigglytuff,1919,20%,6%,280,156,93,0
41,Zubat,573,50%,20%,80,83,76,42
